userName,score,at,content
Ghina aurora,5,2025-12-10 13:38:48,sangat membantu dan luar biasa
Frans Liu,5,2025-12-10 13:37:46,memuaskan
Andie Anto,1,2025-12-10 13:35:52,"setelah di update, apk crash tidak bisa dibuka"
Yohanna Sembiring,5,2025-12-10 13:28:02,bagus banget pula
Napit Napit,5,2025-12-10 13:26:34,baguss
Dadang Saputra,5,2025-12-10 13:20:31,mempermudah utk mengecek data dan program BPJS
Fikri Ditya,2,2025-12-10 13:20:30,sering trouble. aplikasi lemot
yogie m,5,2025-12-10 13:17:02,mantul selalu update
Bernandus rumapea,2,2025-12-10 13:12:37,ini kenapa apk gk bisa di buka slalu kluar sendiri padahal smua sudah di izinkan
edirahman,5,2025-12-10 13:12:01,aplikasi ini bagus dan sangat berguna
Galih Yoga Wicaksono,4,2025-12-10 13:09:39,kok nggak bisa diakses ya di hp saya selalu out ketika masuk
mohamad sobirin,5,2025-12-10 13:09:06,"sangat membantu peserta BPJS, terus maju membangun negeri"
Eko Wahyudi,5,2025-12-10 13:08:24,baik
Iwan Budy,5,2025-12-10 13:01:39,sangat membantu
Yusep Leo,5,2025-12-10 13:01:35,sangat bermanfaat
Catur Rulinda.R 29 nyr,1,2025-12-10 13:00:00,buat apa sih ni aplikasi kalo ga bisa dibuka Hem? udah banyak yang Ngadu kok belum dibener benerin mending Apus aja deh kalo nga digubris
Indra Gunawan Sattya Budhi,1,2025-12-10 12:56:55,TIDAK BISA DIBUKA
Suryadi Mujait,5,2025-12-10 12:56:28,Alhamdulillah lebih mudah mengakses informasi terupdate
YUNAS MUSTOFA,5,2025-12-10 12:51:23,good apk 🔥
Robi Binnoer,5,2025-12-10 12:49:13,bagus
Ghaffi Khawaarizmi Elfatah,1,2025-12-10 12:48:09,tidak bisa dibuka
aris yuana,5,2025-12-10 12:35:24,oke
Gepeng,5,2025-12-10 12:33:35,"sangat membantu,👍"
Iksan Iik,5,2025-12-10 12:30:24,terima kasih BPJS telah memberikan pelayanan terbaik semoga terus a upgrade agar terus maju
Norida Yani,5,2025-12-10 12:24:33,berguna
Kusnanda Nanda,5,2025-12-10 12:23:01,mantap
Amar Sinaga,5,2025-12-10 12:15:51,ok
Hasan Nudin,5,2025-12-10 12:12:20,mantap jmo top banget
Deswin Mb12,5,2025-12-10 12:09:44,bagus sekali
Rizki ika Amelia,5,2025-12-10 12:08:55,sangat bagus
Putri Meliyana,4,2025-12-10 12:05:38,bagus
Tuan Mahdiani,5,2025-12-10 12:04:04,sangat bagus
Amad Dani,4,2025-12-10 12:03:18,mantull
putra Bsb,5,2025-12-10 11:47:06,bagus
Nawa Syahputra,5,2025-12-10 11:41:27,terima kasih telah membantu
Dhiraselvi,5,2025-12-10 11:38:17,baik
Tri Joko Santoso,5,2025-12-10 11:28:48,mantap
Artaty SA,5,2025-12-10 11:22:10,sangat baik
Yabani Bani,5,2025-12-10 11:20:39,menarik
wanda gunawan,5,2025-12-10 11:19:46,kereen mudah aktivasi nya
wiguna dika,5,2025-12-10 11:18:09,terbaik
Hajriyati Mantulangi,5,2025-12-10 11:17:23,terbaik
Hotipah Sifa,4,2025-12-10 11:15:08,bagus
Timoteus Gunawan,5,2025-12-10 11:07:19,Sangat puas
Fery Anggriawan,1,2025-12-10 11:06:26,"Aplikasi nda jelas, di update malah gabisa login, aplikasi pemerintahan banyak bug nya, LOL"
Side On,1,2025-12-10 11:01:25,apk sudah 3 bulan close sediri. gua kira setelah update bisa kebuka.pretttt
Hari Yanto,5,2025-12-10 10:57:25,terimakasih
Afid Afid,5,2025-12-10 10:56:38,"aplikasi JMO sangat membantu, dan bagus d gunakan untuk cek saldo."
Mark6s Elly,5,2025-12-10 10:54:30,mantap sangat membantu
Over Vendi,5,2025-12-10 10:53:55,ok jmo
Iceu Kustini,5,2025-12-10 10:52:13,masyaAllah JMO tetap jaya
REKSI FADIL,5,2025-12-10 10:48:48,mantappp
Sutrisno Sutrisno,1,2025-12-10 10:40:08,aplikasi jmo tidak bisa di buka kenapa yaaa?
Silvia Retno,5,2025-12-10 10:39:01,mudah diakses
agung purwoko,5,2025-12-10 10:29:45,mantapp
marnah nurlela,5,2025-12-10 10:21:22,👍👍
Veronica Ika,5,2025-12-10 10:15:28,thanks JMO
SUPARJO,5,2025-12-10 09:59:45,Bermanfaat
Kangmus Mus,5,2025-12-10 09:56:08,Sangat bermanfaat
Honi Eleston,5,2025-12-10 09:50:44,sangat puas dengan apk nya
EDY lascarpelangi,5,2025-12-10 09:46:29,sangat bermanfaat
Miia Barboza,5,2025-12-10 09:41:23,ok
Nur Asiah,5,2025-12-10 09:37:46,JMO tidak bisa kebuka padahal sudah di upgrade
Beryl Romadhon,1,2025-12-10 09:30:54,aplikasi tak layak setiap buka selalu minta update
Diana manarul Hidayat,5,2025-12-10 09:30:52,mantap
RUMANSYAH,5,2025-12-10 09:28:57,sangat puas
Siti Zulaikhah,5,2025-12-10 09:27:03,Terima kasih JMO
Henderi awan,5,2025-12-10 09:18:27,sangat mudah digunakan
sulaiman mukti,5,2025-12-10 09:17:45,sangat mudah di gunakan aplikaainya
Asih Arnasih,5,2025-12-10 09:17:28,aplikasi yg mantap
Jayus Arifin,5,2025-12-10 09:11:26,terbaik utk informasi JHT. terimakasih
y kusmiyanto,1,2025-12-10 09:09:39,tidak bisa dibuka
arziki pratama,5,2025-12-10 09:04:59,sangat bermanfaat
Mustofa Huzein,5,2025-12-10 09:02:01,sangat bermanfaat dan membantu sekali
Taufik Jawa,5,2025-12-10 08:59:49,baikk
alan gray,5,2025-12-10 08:53:23,sangat membantu dan memberikan keamanan
IYUNG AOET 14,1,2025-12-10 08:47:49,crash
Setia Negara,5,2025-12-10 08:46:43,sangkat membantu sukses trs
Pebri Pratama,5,2025-12-10 08:46:32,terbaik
Tijay taywij (tax),5,2025-12-10 08:44:00,oke
try chorym bae,5,2025-12-10 08:40:04,baik
Syamsudduha Khalik,5,2025-12-10 08:32:14,sangat membantu dalam hal kesehatan dan jaminan hari tua
Victor Solang,5,2025-12-10 08:29:47,baik
Ramdan Rusdiyanto,4,2025-12-10 08:23:59,sangat membantu
Bari Ano,2,2025-12-10 08:14:43,sangat bermanfaat
Rafly Fadillah,5,2025-12-10 08:12:55,baik
selvi pangkey,5,2025-12-10 08:11:52,"jaminan Qt buat hari tua, sangat membantu skali"
Ade Jumantri,5,2025-12-10 08:09:03,"mudah, cepat dan ramah"
Muhammad Anis,5,2025-12-10 08:08:32,bagus
Medi Yarli,5,2025-12-10 08:06:22,Alhamdulillah 🤲
